"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 08 09:31:57 EST 2021","Mon Nov 08 09:32:17 EST 2021","20325","","Search Functionality: As a user, I can search By Brands","","Search Functionality: As a user, I can search By Brands","Then I can select category, sub category, then slect a name and verify the url","Then I can select category, sub category, then slect a name and verify the url",""
"passed","Mon Nov 08 09:31:52 EST 2021","Mon Nov 08 09:31:52 EST 2021","3","","Search Functionality: As a user, I can search By Brands","","Search Functionality: As a user, I can search By Brands","Given I am on the home page","Given I am on the home page",""
"passed","Mon Nov 08 09:30:52 EST 2021","Mon Nov 08 09:30:52 EST 2021","78","","Search Functionality: As a user, I can search by product SKU","","Search Functionality: As a user, I can search by product SKU","Given I am on the home page","Given I am on the home page",""
"passed","Mon Nov 08 09:31:39 EST 2021","Mon Nov 08 09:31:51 EST 2021","11893","","Search Functionality: As a user, I can search for stores near me","","Search Functionality: As a user, I can search for stores near me","When I search for stores and by zipcode","When I search for stores and by zipcode",""
"passed","Mon Nov 08 09:30:52 EST 2021","Mon Nov 08 09:31:33 EST 2021","40712","","Search Functionality: As a user, I can search by product SKU","","Search Functionality: As a user, I can search by product SKU","When I search by product sku","When I search by product sku",""
"passed","Mon Nov 08 09:31:52 EST 2021","Mon Nov 08 09:31:57 EST 2021","4488","","Search Functionality: As a user, I can search By Brands","","Search Functionality: As a user, I can search By Brands","When I search by brand name","When I search by brand name",""
"passed","Mon Nov 08 09:31:52 EST 2021","Mon Nov 08 09:31:52 EST 2021","0","","Search Functionality: As a user, I can search for stores near me","","Search Functionality: As a user, I can search for stores near me","","",""
"passed","Mon Nov 08 09:35:26 EST 2021","Mon Nov 08 09:35:26 EST 2021","1","","Search Functionality: As a user, I can search by product","","Search Functionality: As a user, I can search by product","","",""
"passed","Mon Nov 08 09:33:00 EST 2021","Mon Nov 08 09:33:04 EST 2021","4180","","Search Functionality: As a user, I can search by Department","","Search Functionality: As a user, I can search by Department","Then I shall verify the product displayed","Then I shall verify the product displayed",""
"passed","Mon Nov 08 09:33:04 EST 2021","Mon Nov 08 09:33:04 EST 2021","0","","Search Functionality: As a user, I can search by Department","","Search Functionality: As a user, I can search by Department","","",""
"passed","Mon Nov 08 09:32:17 EST 2021","Mon Nov 08 09:32:17 EST 2021","1","","Search Functionality: As a user, I can search By Brands","","Search Functionality: As a user, I can search By Brands","","",""
"passed","Mon Nov 08 09:32:17 EST 2021","Mon Nov 08 09:32:17 EST 2021","20","","Search Functionality: As a user, I can search by Department","","Search Functionality: As a user, I can search by Department","Given I am on the home page","Given I am on the home page",""
"passed","Mon Nov 08 09:33:05 EST 2021","Mon Nov 08 09:35:26 EST 2021","141302","","Search Functionality: As a user, I can search by product","","Search Functionality: As a user, I can search by product","When I search for products, apply filter and validate results","When I search for products, apply filter and validate results",""
"passed","Mon Nov 08 09:31:39 EST 2021","Mon Nov 08 09:31:39 EST 2021","8","","Search Functionality: As a user, I can search for stores near me","","Search Functionality: As a user, I can search for stores near me","Given I am on the home page","Given I am on the home page",""
"skipped","Mon Nov 08 07:02:47 EST 2021","Mon Nov 08 07:02:47 EST 2021","1","","Search Functionality: As a user, I can search by Department","","Search Functionality: As a user, I can search by Department","Then I can select the Product and verify its price","Then I can select the Product and verify its price",""
"passed","Mon Nov 08 09:31:39 EST 2021","Mon Nov 08 09:31:39 EST 2021","1","","Search Functionality: As a user, I can search by product SKU","","Search Functionality: As a user, I can search by product SKU","","",""
"passed","Mon Nov 08 09:31:51 EST 2021","Mon Nov 08 09:31:52 EST 2021","996","","Search Functionality: As a user, I can search for stores near me","","Search Functionality: As a user, I can search for stores near me","Then I shall see Stores near 19152","Then I shall see Stores near 19152",""
"passed","Mon Nov 08 09:31:33 EST 2021","Mon Nov 08 09:31:39 EST 2021","6882","","Search Functionality: As a user, I can search by product SKU","","Search Functionality: As a user, I can search by product SKU","Then I shall verify the ProductName Matches the SKU displayed","Then I shall verify the ProductName Matches the SKU displayed",""
"passed","Mon Nov 08 09:32:17 EST 2021","Mon Nov 08 09:33:00 EST 2021","42898","","Search Functionality: As a user, I can search by Department","","Search Functionality: As a user, I can search by Department","When I search by store department","When I search by store department",""
"passed","Mon Nov 08 09:33:05 EST 2021","Mon Nov 08 09:33:05 EST 2021","7","","Search Functionality: As a user, I can search by product","","Search Functionality: As a user, I can search by product","Given I am on the home page","Given I am on the home page",""
